Laptop Name,Laptop Weight,Ram Size,Hard Drive Size,Processor Speed,Processor Type,Screen Size,Processor Brand,Operating System,Memory Technology,Price
Dell,2.74,4,1024,1.60,Core i3,14,Intel,Windows 10,DDR4,53220.0
Dell,2.5,16,2,3,Core i5,15.6,Intel,Windows 10 Home,DDR4,49658.0
Dell,2.5,4,1,2.5,Core i5,15.6,Intel,DOS,DDR4,43500.0
Dell,1.62,8,1024,2.40,Core i3,13.3,Intel,Windows 10 Home,DDR4,44850.0
Dell,2.5,16,2,3,Core i5,15.6,Intel,Windows 10 Home,DDR4,56994.0
Dell,1.62,4,1,2.40,Core i3,13.3,Intel,Windows 10 Home,DDR4,39000.0
Dell,2.2,4,1024,1.60,Core i5,15.6,Intel,Windows 10,DDR4,51099.0
Dell,3.5,4,1,3.1,Core i5,15.6,Intel,Windows 10 Home,DDR4,42990.0
Dell,4,4,1,2.4,Core i3,13.3,Intel,Windows 10,DDR3,34990.0
Dell,,8,1,2.8,Core i5 6200U,15.6,Intel,Windows 10 Home,DDR4,52990.0
Dell,2.5,16,1024,3,Core i3,15.6,Intel,Windows 10 Home,DDR4,42980.0
Dell,1.68,8,1,1.60,Core i5 8250U,13.3,Intel,Windows 10,DDR4,56990.0
Dell,3.4,8,1024,3.10,Core i5,15.6,Intel,Linux,DDR4,48990.0
Dell,2,8,1,3.1,Core i5,15.6,Intel,Windows 10 Home,DDR4,51990.0
Dell,2.4,4,1,2.3,Core i3,13.3,Intel,Windows 10 Home,DDR4,36590.0
Asus,1.68,8,1024,1.60,Core i5 8250U,15.6,Intel,Windows 10,DDR4,43990.0
Asus,1.7,8,1024,4,Core i7,15.6,Intel,Windows 10,DDR4,64489.0
Asus,1.68,8,1024,2,Core i3,15.6,Intel,Windows 10,DDR4,35199.0
Asus,2.3,4,1024,2.3,Core i5 8300H,15.6,Intel,Windows 10,DDR4,57990.0
Asus,1.55,8,256,1.60,Core i5 8250U,14,Intel,Windows 10,DDR4,45990.0
Asus,1.55,8,256,1.60,Core i5 8250U,14,Intel,Windows 10,DDR4,45990.00
Asus,1.2,8,256,1.60,Core i5 8250U,14,Intel,Windows 10,DDR4 SDRAM,48750.00
Asus,1.68,4,1024,2.30,Core i3,15.6,Intel,Windows 10,DDR4 SDRAM,37650.00
Asus,2.74,8,512,1.80,Core i7,15.6,Intel,Windows,DDR DRAM,64900.00
Asus,2.73,512,512,2.10,Core i5,15.6,Intel,Windows,GDDR4,52747.00
Asus,1.68,8,1024,2,Core i3,15.6,Intel,Windows 10,DDR4,35245.00
Asus,2.72,8,512,3.90,Core i5 8250U,15.6,Intel,Windows,DDR4 SDRAM,52989.00
Asus,1.7,8,1,1.80,Core i5,15.6,Intel,Windows 10,DDR4 SDRAM,48000.00
Asus,1.68,8,1024,2,Core i3,15.6,Intel,Windows 10,DDR4 SDRAM,32200.00
Asus,1.68,4,1024,2,Core i3,15.6,Intel,Windows 10,DDR4 SDRAM,34500.00
Asus,1.7,8,256,1.60,Core i5,15.60,Intel,Windows 10,DDR4 SDRAM,48397.00
Asus,1.7,4,1024,2.20,Core i3,15.6,Intel,Windows 10,GDDR4,30590.00
Asus,2.3,4,1024,2.3,Core i5 8300H,15.6,Intel,Windows 10,DDR4,57990.00
Asus,2.58,4,1024,1,Core i3,15.6,Intel,windows 10,DDR4 SDRAM,33461.00
Asus,2.3,4,1,2.2,Core i7 8750H,15.6,Intel,Windows 10,DDR4,65990.00
Asus,2.3,8,1,2.30,Core i5 8300H,15.60,Intel,windows,DDR4 SDRAM,63578.00
Asus,2.2,8,512,2.40,Core i5,15.60,Intel,Windows,DDR4 SDRAM,64200.00
Asus,1.25,8,1,1.60,Core i5,14,Intel,Windows,DDR SDRAM,56986.00
Asus,1.5,8,512,1.60,Core i5 8250U,14,Intel,Windows 10,DDR4,69990.00
Asus,2.67,4,1,1.60,Core i5 8250U,15,Intel,Windows,DDR4 SDRAM,38183.00
Asus,2.67,8,256,1.60,Core i5,14.1,Intel,Windows 10 Home,DDR4 SDRAM,47990.00
Asus,1.7,4,256,2.10,Core i3,15.6,Intel,Windows 10,DDR4,34385.00
Asus,1.7,4,256,3.90,Core i3,15.6,Intel,Windows 10,DDR4,35199.00
Asus,1.7,4,1024,1.60,Core i5 8250U,15.6,Intel,Windows 10,GDDR5,42390.00
Asus,1.7,8,1024,1.80,Core i5,15.6,Intel,Windows 10,DDR4 SDRAM,56990.00
Asus,1.7,4,256,3.90,Core i3,15.6,Intel,Windows 10,DDR4,36890.00
Asus,4.54,8,512,2.10,Core i5,15.6,Intel,WINDOWS,DDR DRAM,55146.00
Asus,1.7,8,1024,1.80,Core i7,15.6,Intel,Windows 10,DDR4 SDRAM,55790.00
Asus,1.68,8,1024,1.60,Core i5 8250U,15.6,Intel,Windows 10,GDDR4,39219.00
Asus,1.7,8,1024,1.80,Core i7,15.6,Intel,Windows 10,DDR4 SDRAM,56044.45
Asus,2.2,8,1024,3.90,Core i5,15.6,Intel,Windows 10 Home,DDR4,55990.00
Asus,1.55,8,256,1.60,Core i5 8250U,14,Intel,Windows 10,DDR4,39092.00
HP,2.04,8,1024,1.70,Core i3,15.6,Intel,Windows 10 Home,DDR4 SDRAM,34490.00
HP,1.59,4,256,2.10,Core i3,14,Intel,Windows 10 Home,DDR4,44400.00
HP,1.59,4,1,2.10,Core i3,14,Intel,Windows 10 Home,DDR4,49267.00
Asus,1.7,4,256,3.90,Core i3,15.6,Intel,Windows 10,DDR4,39990.00
Dell,2.25,8,2048,3.40,Core i5,15.6,Intel,Windows,DDR4 SDRAM,50599.00
Lenovo,2.2,8,1024,3.90,Core i5,15.6,Intel,DOS,DDR4,37990.00
Dell,2.18,8,1,2.30,Core i3,15.6,Intel,Windows 10,DDR4 SDRAM,32975.00
Lenovo,1.8,4,1024,2.30,Core i3,15.6,Intel,Windows 10 Home,DDR4 SDRAM,34490.00
Lenovo,1.6,4,1024,2.30,Core i3,14,Intel,Windows 10 Home,DDR4,31588.00
Asus,1.7,4,256,3.90,Core i3,15.6,Intel,Windows 10,DDR4,36890.00
Lenovo,1.85,8,1024,3.90,Core i5,15.6,Intel,DOS,DDR4,39990.00
Lenovo,3.06,8,1,1.60,Core i5 8250U,15.60,Intel,Windows,DDR4 SDRAM,49990.00
Lenovo,1.69,8,256,3.40,Core i5 8250U,15.6,Intel,Windows 10,DDR4,58990.00
