Laptop Name,Laptop Weight,Ram Size,Hard Drive Size,Processor Speed,Processor Type,Screen Size,Operating System,Memory Technology,Price
Lenovo,2.2,8,2,1.6,Core i5 8250U,15.6,Windows 10 Home,DDR4 SDRAM,52905
Lenovo,2,4,1024,2.5,Core i5,15.6,windows 10,SDRAM,40000
Lenovo,3.16,4,1024,2.2,Core i5,15.6,DOS,DDR3L,32999
Lenovo,1.69,8,512,3.4,Core i5 8250U,15.6,Windows 10,DDR4,62990
Lenovo,1.74,8,1024,3.1,Core i5,14,Windows 10,DDR4,63400
Lenovo,2.2,8,1024,2.3,Core i3,15.6,DOS,DDR4,33250
Lenovo,2.2,4,1024,2.2,Core i3,15.6,Windows 10 Home,DDR4 SDRAM,35990
Lenovo,1.7,8,1024,1.6,Core i5 8250U,14,Windows 10 Home,DDR4 SDRAM,52990
Lenovo,1.67,8,1024,1.6,Core i5 8250U,14,Windows 10,DDR4 SDRAM,55000
Lenovo,1.75,4,500,2.3,Core i3,14,Windows 10 Home,DDR4,39190
Lenovo,2.2,8,1,4,Core i5 8300H,15.6,Windows 10,DDR4,47990
Lenovo,2.1,8,1024,3.4,Core i5 8250U,15.6,Windows 10 Home,DDR4,48719
Lenovo,2.4,8,1,2.5,Core i7,15.6,Windows 10,DDR3L,45999
Dell,2.5,8,1024,2.3,Core i5,15.6,Windows 10,DDR4,64251
Dell,4.54,12,1024,1.8,Core i7,156,Windows 10 Home,DDR4 SDRAM,61500
Dell,2.03,4,1024,2.3,Core i3,15.6,windows 10,DDR4 SDRAM,31863
Dell,2.13,4,1024,1.6,Core i5,15.6,Windows 10,DDR4 SDRAM,40990
Dell,2.1,8,1,3.9,Core i5,15.6,Windows 10 With Office 2016,DDR4 SDRAM,47085
Dell,1.7,4,1024,2.1,Core i3,14,windows 10,DDR4 SDRAM,45972
Dell,2.5,8,1024,1.6,Core i5 8250U,15.6,Windows 10,DDR4 SDRAM,49950
Dell,2.28,8,1024,1.6,Core i5 8400T,15.6,Linux,DDR4 SDRAM,48499
Dell,2.97,8,1,2.3,Core i3,15.6,Windows 10 With Office 2019,DDR4 SDRAM,36599
Dell,2.98,8,1,2.3,Core i3,15.6,Windows 10 With Office 2019,DDR4 SDRAM,36599
Dell,2.18,8,1,2.3,Core i3,15.6,Windows 10 With Office 2016,DDR4 SDRAM,33400
Dell,1.62,8,1024,3.4,Core i5,13.3,Windows 10,DDR3 SDRAM,63599
Dell,1.72,8,1024,2.3,Core i3,14,DOS,DDR4 SDRAM,31575
Dell,2.5,8,1024,1.6,Core i5 8250U,15.6,Windows 10,DDR4 SDRAM,49850
Dell,2.74,4,1024,1.6,Core i3,14,Windows 10,DDR4,53626
Dell,2.5,4,1,2.5,Core i5,15.6,DOS,DDR4 SDRAM,43500
Dell,1.5,4,1024,1.6,Core i5 8250U,15.6,windows 10,DDR4 SDRAM,46673
Dell,3.02,4,1024,3.9,Core i3,15.6,DOS,DDR4 SDRAM,33990
Dell,2.5,16,2,3,Core i5,15.6,Windows 10 Home,DDR4,49658
Dell,3.08,8,1024,1.8,Core i7,15,DOS,DDR4 SDRAM,58685
Dell,2,8,1024,2.3,Core i3,15.6,windows 10,DDR4 SDRAM,35890
Dell,,8,1,3.9,Core i3,14,Linux,DDR4 SDRAM,36900
Dell,2.5,4,1024,1.6,Core i5 8250U,15.6,Windows 10,DDR4,43999
Dell,2.97,8,1,3.9,Core i5,15.6,Windows 10,DDR4 SDRAM,51499
Dell,2,4,1024,1.8,Core i7,14,Windows 10 Home,DDR4 SDRAM,54999
Dell,2.25,8,1024,2.3,Core i5,15.6,Windows 10,DDR4,59490
Dell,1.62,8,1024,2.4,Core i3,13.3,Windows 10 Home,SODIMM,44850
Dell,2.18,8,1024,2.3,Core i3,15.6,Windows 10,DDR4 SDRAM,32700
Dell,3.79,4,500,2.4,Core i3 7100U,15.6,Windows 10 Professional,GDDR4,49000
Dell,3.5,4,1,3.1,Core i5,15.6,Windows 10 Home,DDR4,42990
Dell,2.2,20,1024,2.7,Core i7,15.6,Windows 10 Home,DDR SDRAM,58999
Dell,1.62,4,1,2.4,Core i3,13.3,windows 10 Home,DDR4,39000
