Laptop Name,Laptop Weight,Ram Size,Hard Drive Size,Processor Speed,Processor Type,Screen Size,Processor Brand,Operating System,Memory Technology,Price
Lenovo,2.2,4,1024,2.30,Core i3,15.6,Intel,Windows 10,DDR4,33990.0
Lenovo,1.8,4,1,2.30,Core i3,14,Intel,DOS,DDR4,34900.0
Lenovo,2.2,8,1024,2.30,Core i3,15.6,Intel,DOS,DDR4,33250.0
Lenovo,2.4,8,1,2.5,Core i7,15.6,Intel,Windows 10,DDR3L,45999.0
Lenovo,1.7,8,1024,1.60,Core i5 8250U,14,Intel,Windows 10 Home,DDR4,52990.0
Lenovo,1.74,8,1024,3.1,Core i5,14,Intel,Windows 10,DDR4,64499.0
Lenovo,2.2,8,1,4,Core i5 8300H,15.6,Intel,Windows 10,DDR4,47990.0
Lenovo,1.6,4,1,2.20,Core i3 8130U,14,Intel,Windows 10 Home,DDR4,36999.0
Lenovo,1.75,4,500,2.30,Core i3,14,Intel,Windows 10 Home,DDR4,39190.0
Lenovo,2.2,4,1024,1.60,Core i5 8250U,15.6,Intel,Windows 10 Home,DDR4,49990.0
Dell,2.5,4,1024,2.30,Core i3,15.5,Intel,Windows 10,DDR4,30500.0
Dell,2.5,8,1024,2.3,Core i5,15.6,Intel,Windows 10,DDR4,64680.0
Dell,2.5,4,1024,1.60,Core i5 8250U,15.6,Intel,Windows 10,DDR4,43549.0
Dell,2.5,4,1,2.30,Core i3,15.6,Intel,Windows 10 Home,DDR4,30499.0
Dell,2.13,4,1024,1.60,Core i5,15.6,Intel,Windows 10,DDR4,40990.0
Dell,1.62,8,1024,3.40,Core i5,13.3,Intel,Windows 10,DDR4,63000.0
Dell,2.5,8,1024,1.6,Core i5 8250U,15.6,Intel,Windows 10,DDR4,49890.0
Dell,2.5,4,1,2.5,Core i5,15.6,Intel,DOS,DDR4,43500.0
Dell,2.74,4,1024,1.60,Core i3,14,Intel,Windows 10,DDR4,53823.0
Dell,2.18,4,1024,2.30,Core i3,15.6,Intel,Linux,DDR4,31800.0
Dell,2.5,8,1024,1.6,Core i5 8250U,15.6,Intel,Windows 10,DDR4,49990.0
Dell,2.5,16,2,3,Core i5,15.6,Intel,Windows 10 Home,DDR4,49870.0
Dell,2.25,8,1024,2.30,Core i5,15.6,Intel,Windows 10,DDR4,59490.0
Dell,1.62,8,1024,2.40,Core i3,13.3,Intel,Windows 10 Home,DDR4,44850.0
Dell,2.5,16,2,3,Core i5,15.6,Intel,Windows 10 Home,DDR4,57990.0
Dell,1.62,4,1,2.40,Core i3,13.3,Intel,windows 10 Home,DDR4,40500.0
Dell,4,4,1,2.4,Core i3,13.3,Intel,Windows 10,DDR3,34990.0
Dell,2.2,4,1024,1.60,Core i5,15.6,Intel,Win 10,DDR4,51099.0
Dell,2.5,16,1024,3,Core i3,15.6,Intel,Windows 10 Home,DDR4,42980.0
Dell,1.68,8,1,1.60,Core i5 8250U,13.3,Intel,Windows 10,DDR4,56990.0
Dell,2,8,1,3.1,Core i5,15.6,Intel,Windows 10 Home,DDR4,51990.0
Dell,3.4,8,1024,3.10,Core i5,15.6,Intel,Linux,DDR4,48990.0
Asus,1.68,8,1024,3.40,Core i5 8250U,15.6,Intel,Windows 10 Home,DDR4,40990.0
Asus,1.68,8,1024,1.60,Core i5 8250U,15.6,Intel,Windows 10,DDR4,44518.0
Asus,1.7,4,1024,1.60,Core i5 8250U,15.6,Intel,Windows 10 (64bit),DDR4,42390.0
Asus,1.68,4,1024,2,Core i3,15.6,Intel,Windows 10,DDR4,34689.0
